locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Sint-Niklaas,Flanders,HOUSE,HOUSE,289000,residential_sale,3,,None,No,No,No,,No,,131,,,No,None
Hasselt,Flanders,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,No,,No,,233,,,No,None
Antwerp,Flanders,HOUSE,HOUSE,385000,residential_sale,3,,None,No,No,No,,Yes,85,165,,,No,None
Hasselt,Flanders,HOUSE,HOUSE,360000,residential_sale,3,,None,No,No,Yes,,No,,207,,,No,None
Antwerp,Flanders,APARTMENT,APARTMENT,265000,residential_sale,2,,None,No,No,Yes,15,No,,80,,,No,None
Liège,Wallonie,APARTMENT,APARTMENT,105000,residential_sale,1,,None,No,Yes,No,,No,,37,,,No,None
Dison,Wallonie,APARTMENT,APARTMENT,99000,residential_sale,2,32,No,No,No,Yes,32,No,,94,,4,No,GOOD
Ans,Wallonie,APARTMENT,APARTMENT,99000,residential_sale,1,25,No,No,No,Yes,4,No,,56,,2,No,GOOD
Bazel,Flanders,HOUSE,HOUSE,269000,residential_sale,2,,None,No,No,Yes,16,Yes,30,101,,,No,None
Lebbeke,Flanders,HOUSE,HOUSE,379000,residential_sale,3,,None,No,No,Yes,,No,,,,,No,None
Lanaken,Flanders,HOUSE,HOUSE,265000,residential_sale,3,,None,No,No,No,,Yes,,241,,,No,None
Huy,Wallonie,APARTMENT,APARTMENT,169000,residential_sale,3,,None,No,Yes,Yes,8,No,,97,,,No,None
Huy,Wallonie,HOUSE,HOUSE,89500,residential_sale,3,11,No,No,Yes,No,,No,,120,55,2,No,TO_RENOVATE
Seraing Ougrée,Wallonie,HOUSE,HOUSE,70000,residential_sale,2,15,No,No,No,No,,Yes,220,75,302,3,No,TO_RENOVATE
Liege,Wallonie,APARTMENT,APARTMENT,169000,residential_sale,1,27,No,No,No,No,,No,,74,,2,No,AS_NEW
Liege,Wallonie,HOUSE,HOUSE,169000,residential_sale,4,11,No,No,No,Yes,27,Yes,28,129,75,2,No,TO_RENOVATE
Gent,Flanders,HOUSE,HOUSE,354000,residential_sale,3,30,No,No,Yes,No,,Yes,,163,330,3,No,TO_RENOVATE
Gavere,Flanders,HOUSE,HOUSE,895000,residential_sale,6,40,No,No,Yes,Yes,30,Yes,,350,626,4,Yes,AS_NEW
Visé,Wallonie,HOUSE,HOUSE,139000,residential_sale,2,26,No,No,No,Yes,7,Yes,70,106,284,2,No,TO_BE_DONE_UP
Gent,Flanders,HOUSE,HOUSE,345000,residential_sale,3,,None,No,Yes,No,,No,,119,,,No,None
Buizingen,Flanders,APARTMENT,APARTMENT,169000,residential_sale,2,,None,No,Yes,Yes,2,No,,78,,,No,None
Halle,Flanders,APARTMENT,APARTMENT,169000,residential_sale,2,,None,No,Yes,Yes,2,No,,78,,,No,None
Uccle,Brussels,APARTMENT,APARTMENT,595000,residential_sale,3,,None,No,No,Yes,7,No,,127,,,No,None
Hoboken,Flanders,APARTMENT,APARTMENT,165000,residential_sale,2,31,No,No,Yes,Yes,5,No,,90,,2,No,TO_BE_DONE_UP
Kontich,Flanders,APARTMENT,APARTMENT,366000,residential_sale,2,,None,No,Yes,Yes,,No,,110,,,No,None
Liege,Wallonie,APARTMENT,APARTMENT,164000,residential_sale,1,38,No,Yes,No,No,,No,,76,,2,No,JUST_RENOVATED
Bertrix,Wallonie,APARTMENT,APARTMENT,163000,residential_sale,2,,None,No,No,Yes,23,No,,80,,,No,None
Wanze,Wallonie,APARTMENT,APARTMENT,159500,residential_sale,2,,None,No,Yes,Yes,,No,,80,,,No,None
Schaerbeek,Brussels,APARTMENT,APARTMENT,340000,residential_sale,3,30,No,No,No,No,,No,,104,,2,No,GOOD
Gooik,Flanders,HOUSE,HOUSE,459000,residential_sale,3,21,No,No,Yes,Yes,20,Yes,,322,861,4,No,GOOD
Pipaix,Wallonie,HOUSE,HOUSE,330000,residential_sale,6,,None,No,Yes,No,,No,,300,,,No,None
Herstal,Wallonie,HOUSE,HOUSE,159000,residential_sale,3,26,No,No,No,Yes,36,No,,115,83,2,No,GOOD
Anderlecht,Brussels,APARTMENT,APARTMENT,249000,residential_sale,3,,None,No,No,Yes,7,No,,105,,,No,None
Wilrijk,Flanders,APARTMENT,APARTMENT,159000,residential_sale,2,31,No,No,Yes,Yes,3,No,,81,,4,No,GOOD
Boom,Flanders,APARTMENT,APARTMENT,159000,residential_sale,2,26,No,No,Yes,Yes,3,No,,82,,2,No,GOOD
Hoboken,Flanders,APARTMENT,APARTMENT,239000,residential_sale,3,,None,No,Yes,Yes,26,No,,100,,,No,None
Antwerp,Flanders,APARTMENT,APARTMENT,157000,residential_sale,1,16,Yes,Yes,Yes,Yes,5,No,,32,,2,No,JUST_RENOVATED
Braine-l'Alleud,Wallonie,APARTMENT,APARTMENT,239000,residential_sale,3,38,No,No,No,Yes,2,No,,115,,2,No,TO_RENOVATE
Beyne-Heusay,Wallonie,APARTMENT,APARTMENT,155000,residential_sale,1,,None,No,Yes,Yes,3,No,,57,,,No,None
Boom,Flanders,APARTMENT,APARTMENT,229000,residential_sale,2,,None,No,Yes,Yes,3,No,,82,,,No,None
Liège,Wallonie,APARTMENT,APARTMENT,155000,annuity_monthly_amount,2,,None,No,Yes,Yes,5,No,,98,,,No,None
Schaerbeek,Brussels,APARTMENT,APARTMENT,335000,residential_sale,3,,None,No,Yes,Yes,,No,,100,,,No,None
Ronse,Flanders,HOUSE,HOUSE,149000,residential_sale,3,,None,No,No,No,,Yes,20,180,,,No,None
Ronse,Flanders,HOUSE,HOUSE,149000,residential_sale,2,,None,No,No,Yes,10,No,,145,,,No,None
Kraainem,Flanders,HOUSE,HOUSE,1250000,residential_sale,5,40,No,No,Yes,Yes,11,Yes,800,264,1375,4,No,GOOD
Berchem,Flanders,APARTMENT,APARTMENT,269000,residential_sale,2,,None,No,Yes,Yes,8,No,,100,,,No,None
Ganshoren,Brussels,APARTMENT,APARTMENT,169000,residential_sale,1,,None,No,No,Yes,2,No,,57,,,No,None
Gooik,Flanders,HOUSE,HOUSE,695000,residential_sale,4,,None,No,Yes,Yes,,No,,240,,,No,None
