locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Tielt,Flanders,HOUSE,HOUSE,393300,residential_sale,4,,None,No,No,No,,No,,,,,No,None
Wemmel,Flanders,HOUSE,HOUSE,570000,residential_sale,5,,None,No,No,Yes,23,Yes,70,185,,,No,None
Eeklo,Flanders,HOUSE,HOUSE,650484,residential_sale,3,,None,No,No,No,,No,,,,,No,None
Tielt,Flanders,HOUSE,HOUSE,416400,residential_sale,4,,None,No,No,Yes,,No,,,,,No,None
Ledegem,Flanders,HOUSE,HOUSE,279900,residential_sale,3,,None,No,No,No,,Yes,,126,,,No,None
Woluwe-Saint-Lambert,Brussels,APARTMENT,APARTMENT,795000,residential_sale,4,,None,No,No,No,,Yes,38,212,,,No,None
Maldegem,Flanders,HOUSE,HOUSE,370674,residential_sale,4,,None,No,No,Yes,,No,,,,,No,None
Kortessem,Flanders,HOUSE,HOUSE,210000,residential_sale,3,29,No,No,No,No,,Yes,,174,834,,No,AS_NEW
Nieuwpoort,Flanders,APARTMENT,APARTMENT,990000,residential_sale,3,,None,No,No,Yes,,No,,131,,,No,None
Kruishoutem,Flanders,HOUSE,HOUSE,483375,residential_sale,3,37,Yes,No,No,Yes,24,Yes,,162,483,,No,
Wingene,Flanders,APARTMENT,APARTMENT,198500,residential_sale,1,,None,No,No,No,,No,,74,,,No,None
Kruishoutem,Flanders,HOUSE,HOUSE,468203,residential_sale,3,37,Yes,No,No,No,,Yes,,154,483,,No,
Brakel,Flanders,HOUSE,HOUSE,230000,residential_sale,3,12,No,No,No,Yes,,Yes,,128,310,,No,AS_NEW
Asper,Flanders,HOUSE,HOUSE,298000,residential_sale,3,,None,No,No,No,,Yes,,151,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,565000,residential_sale,2,,None,No,No,No,,Yes,,,,,No,None
Geel,Flanders,HOUSE,HOUSE,349000,residential_sale,3,,None,No,No,No,,Yes,,223,,,No,None
Lierde,Flanders,HOUSE,HOUSE,280000,residential_sale,4,,None,No,No,Yes,,Yes,,169,,,No,None
Ham,Flanders,HOUSE,HOUSE,329000,residential_sale,5,,None,No,No,No,,Yes,,195,,,No,None
Kontich,Flanders,HOUSE,HOUSE,435000,residential_sale,3,48,No,No,Yes,No,,Yes,108,256,180,2,No,GOOD
Antwerp,Flanders,HOUSE,HOUSE,425000,residential_sale,7,15,No,No,Yes,Yes,12,Yes,26,205,88,2,No,TO_RENOVATE
Wilrijk,Flanders,HOUSE,HOUSE,435000,residential_sale,3,30,Yes,No,Yes,No,,Yes,80,180,235,2,No,AS_NEW
Berchem,Flanders,HOUSE,HOUSE,399000,residential_sale,3,25,No,No,Yes,No,,Yes,160,119,202,2,No,JUST_RENOVATED
Héron,Wallonie,HOUSE,HOUSE,395000,residential_sale,5,52,No,No,Yes,No,,Yes,,260,7341,4,No,AS_NEW
Groot-Bijgaarden,Flanders,HOUSE,HOUSE,399000,residential_sale,4,40,No,No,Yes,No,,Yes,130,185,1300,3,No,TO_RENOVATE
Overwinden,Flanders,HOUSE,HOUSE,395000,residential_sale,3,37,No,No,No,Yes,,No,,340,4789,4,No,TO_BE_DONE_UP
Vilvoorde,Flanders,HOUSE,HOUSE,389000,residential_sale,3,40,Yes,No,No,No,,Yes,,140,227,,No,AS_NEW
BLAASVELD,Flanders,HOUSE,HOUSE,385000,residential_sale,5,,None,No,Yes,Yes,,Yes,,195,,,No,None
Niel,Flanders,HOUSE,HOUSE,385000,residential_sale,3,,None,No,Yes,Yes,20,Yes,130,180,,,No,None
Gijzegem,Flanders,HOUSE,HOUSE,399000,residential_sale,4,23,Yes,No,No,Yes,25,Yes,148,239,419,2,No,GOOD
Marche-en-Famenne,Wallonie,HOUSE,HOUSE,359000,residential_sale,4,40,No,No,Yes,Yes,,Yes,16,304,1930,4,No,GOOD
Marche-en-Famenne,Wallonie,HOUSE,HOUSE,330000,residential_sale,3,31,No,No,Yes,Yes,30,Yes,1271,124,1418,4,Yes,GOOD
NEDERBRAKEL,Flanders,HOUSE,HOUSE,349500,residential_sale,3,,None,No,Yes,Yes,,Yes,,170,,,No,None
ENGIS,Wallonie,HOUSE,HOUSE,329000,residential_sale,3,20,No,No,Yes,Yes,10,Yes,,204,654,4,No,JUST_RENOVATED
Marchin,Wallonie,HOUSE,HOUSE,325000,residential_sale,6,17,No,No,Yes,Yes,37,Yes,,252,5480,4,No,GOOD
Olen,Flanders,HOUSE,HOUSE,459000,residential_sale,3,,None,No,Yes,Yes,17,Yes,288,278,,,No,None
Sint-Amandsberg,Flanders,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,No,,No,,108,,,No,None
SCRY,Wallonie,HOUSE,HOUSE,325000,residential_sale,4,50,No,No,Yes,Yes,20,Yes,1350,220,2161,3,No,GOOD
Koksijde,Flanders,APARTMENT,APARTMENT,460000,residential_sale,3,,None,Yes,No,Yes,,No,,88,,,No,None
Bassilly,Wallonie,HOUSE,HOUSE,297500,residential_sale,3,31,No,No,No,Yes,,Yes,718,124,1167,4,No,GOOD
Amay,Wallonie,HOUSE,HOUSE,299000,residential_sale,3,,None,No,No,No,,No,,148,,,No,None
Ingelmunster,Flanders,HOUSE,HOUSE,249000,residential_sale,2,33,No,No,No,No,,Yes,400,224,581,4,No,TO_RENOVATE
Diepenbeek,Flanders,HOUSE,HOUSE,274000,residential_sale,3,,None,No,No,No,,Yes,911,117,,,No,None
Turnhout,Flanders,APARTMENT,APARTMENT,174900,residential_sale,1,,None,No,No,No,,No,,80,,,No,None
GRÂCE-HOLLOGNE,Wallonie,HOUSE,HOUSE,285000,residential_sale,3,27,No,No,Yes,Yes,12,Yes,335,115,462,4,No,AS_NEW
Ardooie,Flanders,APARTMENT,APARTMENT,273000,residential_sale,2,,None,No,No,Yes,,No,,,,,No,None
Durbuy,Wallonie,HOUSE,HOUSE,190000,residential_sale,5,,None,No,No,Yes,,No,,150,,,No,None
Lochristi,Flanders,HOUSE,HOUSE,498000,residential_sale,2,,None,No,No,Yes,,Yes,,155,,,No,None
Eeklo,Flanders,HOUSE,HOUSE,425000,residential_sale,4,,None,No,Yes,No,,Yes,,267,,,No,None
Evergem,Flanders,HOUSE,HOUSE,421000,residential_sale,3,,None,No,No,Yes,,No,,130,,,No,None
Turnhout,Flanders,HOUSE,HOUSE,224500,residential_sale,3,,None,No,No,No,,Yes,,145,,,No,None
Tongerlo,Flanders,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,No,,Yes,,173,,,No,None
Gent,Flanders,HOUSE,HOUSE,295000,residential_sale,2,,None,No,No,No,,No,,124,,,No,None
Aalst,Flanders,HOUSE,HOUSE,435000,residential_sale,4,,None,No,No,Yes,,No,,298,,,No,None
Averbode,Flanders,HOUSE,HOUSE,399000,residential_sale,4,,None,No,No,No,,No,,211,,,No,None
Duffel,Flanders,HOUSE,HOUSE,335000,residential_sale,3,,None,No,Yes,Yes,,Yes,,154,,,No,None
Wiekevorst,Flanders,HOUSE,HOUSE,394000,residential_sale,4,,None,No,No,No,,No,,188,,,No,None
Genk,Flanders,HOUSE,HOUSE,375000,residential_sale,4,,None,No,No,Yes,,Yes,,213,,,No,None
Putte,Flanders,HOUSE,HOUSE,598000,residential_sale,4,,None,No,No,Yes,,No,,288,,,No,None
Schriek,Flanders,HOUSE,HOUSE,335000,residential_sale,2,,None,No,No,No,,No,,150,,,No,None
Boechout,Flanders,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,Yes,,No,,273,,,No,None
Schriek,Flanders,HOUSE,HOUSE,298000,residential_sale,4,,None,No,No,No,,Yes,,237,,,No,None
PETIT-ENGHIEN,Wallonie,HOUSE,HOUSE,625000,residential_sale,7,55,No,No,Yes,Yes,40,Yes,5800,398,6000,4,No,GOOD
Merchtem,Flanders,HOUSE,HOUSE,595000,residential_sale,2,,None,No,Yes,Yes,,Yes,,150,,,No,None
Putte,Flanders,HOUSE,HOUSE,599000,residential_sale,4,35,No,No,Yes,Yes,,Yes,95,167,416,4,No,JUST_RENOVATED
Lommel,Flanders,HOUSE,HOUSE,699000,residential_sale,6,,None,No,Yes,Yes,38,Yes,950,367,,,No,None
Landen,Flanders,HOUSE,HOUSE,539000,residential_sale,4,61,No,No,Yes,No,,Yes,,345,924,,No,AS_NEW
Vilvoorde,Flanders,HOUSE,HOUSE,565000,residential_sale,3,58,Yes,No,Yes,Yes,38,No,,230,0,,No,GOOD
Wilrijk,Flanders,HOUSE,HOUSE,522000,residential_sale,3,33,No,No,Yes,Yes,10,Yes,55,183,170,3,No,AS_NEW
Destelbergen,Flanders,HOUSE,HOUSE,550000,residential_sale,4,36,No,No,Yes,No,,Yes,1451,250,1726,4,No,TO_RENOVATE
Woluwe-Saint-Pierre,Brussels,HOUSE,HOUSE,495000,residential_sale,2,35,No,No,No,Yes,10,Yes,100,92,239,3,No,TO_RENOVATE
Nassogne,Wallonie,HOUSE,HOUSE,535000,residential_sale,2,,None,No,Yes,Yes,27,No,,153,,,Yes,None
WOLKRANGE,Wallonie,HOUSE,HOUSE,495000,residential_sale,6,,None,No,Yes,No,,No,,293,,,No,None
Spiennes,Wallonie,HOUSE,HOUSE,449500,residential_sale,4,,None,No,Yes,Yes,22,Yes,837,257,,,No,None
Zwijndrecht,Flanders,HOUSE,HOUSE,449000,residential_sale,3,43,Yes,No,No,Yes,20,Yes,250,181,438,3,No,AS_NEW
Lier,Flanders,APARTMENT,APARTMENT,460000,residential_sale,2,,None,No,Yes,Yes,8,No,,190,,,No,None
Thuin,Wallonie,HOUSE,HOUSE,365000,residential_sale,4,,None,No,Yes,Yes,,No,,311,,,No,None
Jemappes,Wallonie,HOUSE,HOUSE,130000,residential_sale,2,,None,No,Yes,Yes,,No,,140,,,No,None
WAULSORT,Wallonie,APARTMENT,APARTMENT,499000,residential_sale,6,,None,No,Yes,No,,Yes,675,372,,,No,None
Pommeroeul,Wallonie,HOUSE,HOUSE,190000,residential_sale,2,,None,No,Yes,No,,No,,167,,,No,None
Bonheiden,Flanders,HOUSE,HOUSE,1049000,residential_sale,4,,None,No,Yes,Yes,,Yes,,397,,,No,None
Ravels,Flanders,HOUSE,HOUSE,429000,residential_sale,4,39,No,No,Yes,Yes,,Yes,,220,353,3,No,AS_NEW
Borsbeek,Flanders,APARTMENT,APARTMENT,275000,residential_sale,1,,None,No,Yes,No,,No,,64,,,No,None
Braine l'Alleud,Wallonie,APARTMENT,APARTMENT,299000,residential_sale,3,,None,No,No,Yes,,No,,115,,,No,None
MOUSCRON,Wallonie,HOUSE,HOUSE,145000,residential_sale,2,35,No,No,No,Yes,10,Yes,45,143,55,2,No,
Vilvoorde,Flanders,HOUSE,HOUSE,245000,residential_sale,3,,None,No,No,No,,No,,136,,,No,None
Braine l'Alleud,Wallonie,HOUSE,HOUSE,289000,residential_sale,2,,None,No,No,Yes,,No,,115,,,No,None
Tielt (8700),Flanders,APARTMENT,APARTMENT,227000,residential_sale,1,,None,No,No,Yes,,No,,71,,,No,None
Kuurne,Flanders,HOUSE,HOUSE,280000,residential_sale,3,,None,No,No,Yes,30,Yes,305,276,,,No,None
Koekelare,Flanders,HOUSE,HOUSE,429000,residential_sale,4,,None,No,No,No,,No,,,,,No,None
NY,Wallonie,APARTMENT,APARTMENT,69000,residential_sale,1,,None,No,Yes,Yes,20,No,,40,,,No,None
Ecaussinnes,Wallonie,HOUSE,HOUSE,239000,residential_sale,3,,None,No,No,No,,No,,161,,,No,None
Maaseik,Flanders,HOUSE,HOUSE,365000,residential_sale,5,38,No,No,No,No,,No,,234,661,4,No,
Forest,Brussels,APARTMENT,APARTMENT,220000,residential_sale,3,,None,No,No,No,,No,,80,,,No,None
Kortrijk,Flanders,HOUSE,HOUSE,205000,residential_sale,4,,None,No,No,No,,No,,268,,,No,None
Gent,Flanders,HOUSE,HOUSE,695000,residential_sale,3,,None,No,No,Yes,,Yes,137,356,,,No,None
Hoboken,Flanders,HOUSE,HOUSE,375000,residential_sale,3,,None,No,No,Yes,25,Yes,95,155,,,No,None
Uccle,Brussels,APARTMENT,APARTMENT,399999,residential_sale,2,,None,No,Yes,Yes,25,No,,96,,,No,None
Tienen,Flanders,HOUSE,HOUSE,235000,residential_sale,5,,None,No,No,Yes,,No,,168,,,No,None
Los Alcazares,,APARTMENT,APARTMENT,189000,residential_sale,3,,None,Yes,No,Yes,75,No,,75,,,Yes,None
Leuven,Flanders,HOUSE,HOUSE,1045000,residential_sale,5,,None,Yes,No,Yes,,No,,233,,,No,None
Ixelles,Brussels,APARTMENT,APARTMENT,810000,residential_sale,2,45,Yes,No,No,Yes,6,No,,124,,2,Yes,AS_NEW
Orihuela-Costa,,APARTMENT,APARTMENT,260000,residential_sale,2,,None,No,No,Yes,,No,,,,,Yes,None
Antwerp,Flanders,APARTMENT,APARTMENT,197000,residential_sale,2,,None,No,No,Yes,2,No,,72,,,No,None
SAINT-SYMPHORIEN,Wallonie,HOUSE,HOUSE,350000,residential_sale,4,45,No,No,Yes,No,,Yes,553,160,553,,Yes,GOOD
Hoboken,Flanders,HOUSE,HOUSE,325000,residential_sale,4,,None,No,Yes,No,,Yes,45,244,,,No,None
Wortegem-Petegem,Flanders,HOUSE,HOUSE,325000,residential_sale,3,,None,No,Yes,Yes,,No,,160,,,No,None
Tenneville,Wallonie,HOUSE,HOUSE,330000,residential_sale,4,59,No,No,No,Yes,20,No,,260,788,4,No,JUST_RENOVATED
Mechelen,Flanders,HOUSE,HOUSE,325000,residential_sale,2,,None,No,Yes,No,,No,,110,,,No,None
Tournai,Wallonie,HOUSE,HOUSE,3000000,residential_sale,32,1,No,No,Yes,No,,Yes,16000,1102,16000,4,No,JUST_RENOVATED
BAASRODE,Flanders,HOUSE,HOUSE,329000,residential_sale,3,,None,No,Yes,Yes,30,Yes,210,230,,,No,None
Oud-Heverlee (Blanden),Flanders,HOUSE,HOUSE,348000,residential_sale,3,37,Yes,No,No,Yes,16,Yes,400,140,570,3,No,GOOD
Etterbeek,Brussels,APARTMENT,APARTMENT,335000,residential_sale,1,,None,No,Yes,No,,Yes,110,70,,,No,None
Uccle,Brussels,APARTMENT,APARTMENT,295000,residential_sale,2,,None,No,No,Yes,16,No,,80,,,No,None
Walhain,Wallonie,HOUSE,HOUSE,499000,residential_sale,3,,None,No,No,No,,No,,230,,,No,None
Zele,Flanders,HOUSE,HOUSE,375000,residential_sale,4,,None,No,No,Yes,,No,,200,,,No,None
Halle,Flanders,APARTMENT,APARTMENT,465000,residential_sale,3,,None,No,Yes,No,,No,,108,,,No,None
Rochefort,Wallonie,HOUSE,HOUSE,245000,residential_sale,3,28,No,No,No,Yes,,No,,140,781,4,No,GOOD
ANDERLECHT,Brussels,HOUSE,HOUSE,185000,residential_sale,1,15,No,No,No,No,,No,,100,40,2,No,GOOD
Lauwe,Flanders,HOUSE,HOUSE,235000,residential_sale,3,29,Yes,No,No,No,,Yes,,115,226,,No,JUST_RENOVATED
Nieuwpoort,Flanders,APARTMENT,APARTMENT,285000,residential_sale,1,,None,No,No,Yes,,No,,33,,,No,None
Bomal-sur-Ourthe,Wallonie,HOUSE,HOUSE,585000,residential_sale,4,,None,No,No,No,,Yes,,157,,,No,None
Gembloux,Wallonie,HOUSE,HOUSE,275000,residential_sale,2,,None,No,No,Yes,40,Yes,,138,,,No,None
Tienen,Flanders,APARTMENT,APARTMENT,149000,residential_sale,1,,None,No,No,No,,No,,48,,,No,None
Ixelles,Brussels,APARTMENT,APARTMENT,460000,residential_sale,1,,None,No,No,Yes,17,Yes,50,100,,,No,None
BEVEREN- LEIE,Flanders,HOUSE,HOUSE,399500,residential_sale,3,,None,No,Yes,Yes,,No,,800,,,No,None
Veurne,Flanders,APARTMENT,APARTMENT,329000,residential_sale,2,,None,No,No,Yes,,No,,102,,,No,None
Maldegem,Flanders,HOUSE,HOUSE,510000,residential_sale,6,,None,No,No,Yes,,No,,300,,,Yes,None
Boom,Flanders,APARTMENT,APARTMENT,520000,residential_sale,3,,None,No,No,Yes,21,No,,177,,,No,None
Veurne,Flanders,APARTMENT,APARTMENT,329000,residential_sale,2,,None,No,No,Yes,,No,,102,,,No,None
Ieper,Flanders,HOUSE,HOUSE,279000,residential_sale,4,,None,No,No,No,,No,,113,,,No,None
Dendermonde,Flanders,HOUSE,HOUSE,225000,residential_sale,2,,None,No,No,Yes,,No,,,,,No,None
Ursel,Flanders,HOUSE,HOUSE,399000,residential_sale,2,,None,No,No,Yes,,No,,114,,,No,None
Dendermonde,Flanders,HOUSE,HOUSE,595000,residential_sale,4,,None,No,No,Yes,,No,,,,,No,None
Begijnendijk,Flanders,HOUSE,HOUSE,649000,residential_sale,5,37,Yes,No,No,Yes,,No,,258,1061,4,No,GOOD
BERCHEM-SAINTE-AGATHE,Brussels,APARTMENT,APARTMENT,280000,residential_sale,2,,None,No,No,Yes,8,No,,110,,,No,None
Schelle,Flanders,HOUSE,HOUSE,485000,residential_sale,5,,None,No,No,Yes,,No,,236,,,No,None
Boom,Flanders,HOUSE,HOUSE,270000,residential_sale,3,,None,No,No,Yes,,No,,129,,,No,None
Liège Chênée,Wallonie,HOUSE,HOUSE,249000,residential_sale,3,21,Yes,No,No,Yes,,No,,115,210,3,No,AS_NEW
Dendermonde,Flanders,HOUSE,HOUSE,345000,residential_sale,4,,None,No,No,Yes,,No,,192,,,No,None
Braine-l'Alleud,Wallonie,HOUSE,HOUSE,450000,residential_sale,4,32,No,No,No,Yes,64,Yes,215,144,733,4,No,GOOD
Evere,Brussels,HOUSE,HOUSE,459000,residential_sale,4,28,No,No,No,Yes,31,No,,208,260,2,No,GOOD
Bois-de-Villers,Wallonie,HOUSE,HOUSE,449999,residential_sale,5,36,No,No,Yes,Yes,80,Yes,,226,1074,4,No,TO_BE_DONE_UP
Oostakker,Flanders,HOUSE,HOUSE,440000,residential_sale,3,30,No,No,Yes,No,,Yes,82,145,187,3,No,JUST_RENOVATED
'S-GRAVENWEZEL,Flanders,HOUSE,HOUSE,449000,residential_sale,4,32,No,No,Yes,Yes,,No,,200,1092,4,No,TO_BE_DONE_UP
Brasschaat,Flanders,HOUSE,HOUSE,449000,residential_sale,3,40,No,No,Yes,Yes,20,No,,195,513,3,No,TO_BE_DONE_UP
AYE,Wallonie,HOUSE,HOUSE,429000,residential_sale,7,46,No,No,Yes,Yes,80,Yes,1616,350,2649,4,No,GOOD
Nandrin,Wallonie,HOUSE,HOUSE,429000,residential_sale,3,35,No,No,Yes,Yes,75,Yes,,207,1823,4,No,GOOD
PUURS-SINT-AMANDS,Flanders,HOUSE,HOUSE,425000,residential_sale,4,28,No,No,Yes,Yes,,Yes,,173,609,3,No,GOOD
Londerzeel,Flanders,HOUSE,HOUSE,445000,residential_sale,3,,None,No,Yes,No,,Yes,,154,,,No,None
Philippeville,Wallonie,HOUSE,HOUSE,425000,residential_sale,5,68,Yes,No,Yes,Yes,,No,,252,161,2,No,JUST_RENOVATED
Ottignies-louvain-la-neuve,Wallonie,HOUSE,HOUSE,425000,residential_sale,3,,None,No,No,Yes,17,Yes,84,100,,,No,None
Anderlecht,Brussels,HOUSE,HOUSE,425000,residential_sale,4,32,No,No,Yes,No,,No,,190,103,2,No,TO_BE_DONE_UP
Jupille,Wallonie,HOUSE,HOUSE,419000,residential_sale,3,,None,No,No,Yes,,Yes,475,135,,,No,None
Machelen,Flanders,HOUSE,HOUSE,425000,residential_sale,3,32,Yes,No,No,No,,Yes,,135,108,,No,AS_NEW
Berchem,Flanders,HOUSE,HOUSE,419000,residential_sale,4,28,No,No,Yes,Yes,10,Yes,55,130,0,2,No,GOOD
Borgerhout,Flanders,HOUSE,HOUSE,419000,residential_sale,5,22,No,No,Yes,Yes,10,No,,160,80,,No,JUST_RENOVATED
Nivelles,Wallonie,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,No,,No,,164,,,No,None
Putte,Flanders,HOUSE,HOUSE,419000,residential_sale,4,,None,No,Yes,Yes,,Yes,,251,,,No,None
Knokke-Zoute,Flanders,APARTMENT,APARTMENT,2395000,residential_sale,3,,None,No,No,Yes,,No,,110,,,No,None
MARILLES,Wallonie,HOUSE,HOUSE,400000,residential_sale,3,,None,No,Yes,No,,Yes,,150,,,No,None
Braine-L'Alleud,Wallonie,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,No,,No,,160,,,No,None
Wetteren,Flanders,APARTMENT,APARTMENT,325000,residential_sale,3,,None,No,No,No,,No,,135,,,No,None
Ninove,Flanders,HOUSE,HOUSE,399000,residential_sale,3,48,No,No,Yes,Yes,60,Yes,350,300,512,4,No,GOOD
Braine-L'Alleud,Wallonie,APARTMENT,APARTMENT,361800,residential_sale,3,,None,No,No,Yes,13,No,,131,,,No,None
Haaltert,Flanders,HOUSE,HOUSE,299000,residential_sale,3,,None,No,No,Yes,,Yes,,,,,No,None
Braine-L'Alleud,Wallonie,APARTMENT,APARTMENT,356725,residential_sale,2,,None,No,No,Yes,14,No,,106,,,No,None
Ixelles,Brussels,APARTMENT,APARTMENT,345000,residential_sale,2,,None,No,Yes,No,,No,,85,,,No,None
Nivelles,Wallonie,HOUSE,HOUSE,350000,residential_sale,3,,None,No,No,No,,No,,170,,,No,None
Holsbeek,Flanders,HOUSE,HOUSE,299000,residential_sale,3,,None,No,No,Yes,,No,,271,,,No,None
Sint-Lenaarts,Flanders,HOUSE,HOUSE,399000,residential_sale,5,,None,No,Yes,No,,Yes,,229,,,No,None
Heist-op-den-Berg,Flanders,HOUSE,HOUSE,399000,residential_sale,3,,None,No,Yes,Yes,,No,,205,,,No,None
Dendermonde,Flanders,HOUSE,HOUSE,399000,residential_sale,3,,None,No,Yes,No,,Yes,,203,,,No,None
Rhode-Saint-Genèse,Flanders,HOUSE,HOUSE,385000,residential_sale,3,,None,No,No,Yes,15,Yes,300,150,,,No,None
Londerzeel,Flanders,HOUSE,HOUSE,395000,residential_sale,4,,None,No,Yes,No,,Yes,,202,,,No,None
Gilly,Wallonie,HOUSE,HOUSE,380000,residential_sale,4,,None,No,Yes,No,,No,,170,,,No,None
Arlon,Wallonie,HOUSE,HOUSE,398000,residential_sale,5,,None,No,Yes,No,,Yes,,208,,,No,None
VILLERS-LE-TEMPLE,Wallonie,HOUSE,HOUSE,379000,residential_sale,3,,None,No,Yes,Yes,,Yes,,443,,,No,None
Asse,Flanders,HOUSE,HOUSE,369000,residential_sale,2,35,Yes,No,No,Yes,25,Yes,400,170,504,4,No,AS_NEW
Kessel-Lo,Flanders,HOUSE,HOUSE,375000,residential_sale,4,,None,No,No,Yes,,No,,203,,,No,None
Warsage,Wallonie,HOUSE,HOUSE,368000,residential_sale,4,33,No,No,No,Yes,50,Yes,667,148,799,4,Yes,GOOD
SCHERPENHEUVEL-ZICHEM,Flanders,HOUSE,HOUSE,367000,residential_sale,3,,None,No,Yes,No,,Yes,,182,,,No,None
Berlare,Flanders,HOUSE,HOUSE,359000,residential_sale,3,38,Yes,No,No,Yes,20,Yes,150,230,370,3,No,GOOD
Arlon,Wallonie,HOUSE,HOUSE,350000,residential_sale,5,,None,No,Yes,No,,Yes,,257,,,No,None
Huy,Wallonie,HOUSE,HOUSE,345000,residential_sale,4,19,No,No,Yes,Yes,30,Yes,318,197,718,3,No,JUST_RENOVATED
Hoeilaart,Flanders,HOUSE,HOUSE,330000,residential_sale,3,21,No,No,No,Yes,18,Yes,48,112,125,2,No,TO_RENOVATE
Waterloo,Wallonie,HOUSE,HOUSE,348000,residential_sale,3,37,No,No,Yes,Yes,,No,,203,279,3,No,GOOD
Niel,Flanders,HOUSE,HOUSE,249000,residential_sale,4,,None,No,No,Yes,,No,,,,,No,None
Sint-Niklaas,Flanders,HOUSE,HOUSE,339000,residential_sale,3,,None,No,No,Yes,,Yes,,172,,,No,None
Willebroek,Flanders,HOUSE,HOUSE,329000,residential_sale,2,,None,No,Yes,Yes,,Yes,160,195,,,No,None
Malle,Flanders,HOUSE,HOUSE,497310,residential_sale,4,,None,No,No,No,,No,,205,,,No,None
Argenteau,Wallonie,HOUSE,HOUSE,328000,residential_sale,2,32,No,No,No,Yes,,Yes,884,163,1046,3,No,GOOD
Tielt,Flanders,HOUSE,HOUSE,349000,residential_sale,5,30,No,No,No,Yes,,Yes,,240,853,3,No,GOOD
Wemmel,Flanders,HOUSE,HOUSE,765000,residential_sale,3,,None,No,No,No,,No,,190,,,No,None
Havelange,Wallonie,HOUSE,HOUSE,325000,residential_sale,6,42,No,No,No,No,,Yes,200,280,380,3,No,GOOD
Gent,Flanders,APARTMENT,APARTMENT,554500,residential_sale,3,28,Yes,No,No,Yes,16,No,,,,,No,AS_NEW
LIEGE,Wallonie,HOUSE,HOUSE,130000,residential_sale,3,12,No,No,Yes,No,,No,,60,43,3,No,TO_RENOVATE
Trooz,Wallonie,HOUSE,HOUSE,129000,residential_sale,3,11,No,No,No,No,,Yes,60,90,330,3,No,TO_RENOVATE
AMPSIN,Wallonie,HOUSE,HOUSE,115000,residential_sale,2,,None,No,Yes,Yes,80,Yes,1250,90,,,No,None
Aiseau-Presles,Wallonie,HOUSE,HOUSE,40000,annuity_monthly_amount,2,41,No,No,Yes,No,,No,,100,520,4,No,GOOD
Saint-Josse-ten-Noode,Brussels,APARTMENT,APARTMENT,185000,residential_sale,1,,None,No,No,Yes,3,No,,55,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,1245000,residential_sale,3,,None,No,No,Yes,8,No,,105,,,No,None
Quaregnon,Wallonie,HOUSE,HOUSE,99000,residential_sale,2,27,No,No,No,Yes,15,Yes,85,85,180,2,No,TO_BE_DONE_UP
Monceau-sur-Sambre,Wallonie,HOUSE,HOUSE,105000,residential_sale,2,24,No,No,No,Yes,35,No,,110,85,2,No,TO_BE_DONE_UP
Deerlijk,Flanders,HOUSE,HOUSE,319000,residential_sale,3,,None,No,Yes,Yes,,No,,168,,,No,None
Dilsen-Stokkem,Flanders,APARTMENT,APARTMENT,169000,residential_sale,2,24,No,No,No,Yes,7,No,,85,,3,No,GOOD
ANTWERPEN 2018,Flanders,HOUSE,HOUSE,729000,residential_sale,4,,None,No,Yes,No,,Yes,31,181,,,No,None
Maaseik,Flanders,HOUSE,HOUSE,340000,residential_sale,3,40,No,No,No,Yes,1,Yes,1,182,753,4,No,GOOD
Gent,Flanders,HOUSE,HOUSE,439000,residential_sale,4,,None,No,No,No,,No,,126,,,No,None
Braine-le-Comte,Wallonie,HOUSE,HOUSE,179000,residential_sale,2,,None,No,No,Yes,10,No,,90,,,No,None
Berchem,Flanders,APARTMENT,APARTMENT,299000,residential_sale,4,40,No,No,Yes,Yes,26,No,,140,,,No,GOOD
Saint-Josse-ten-Noode,Brussels,APARTMENT,APARTMENT,325000,residential_sale,2,,None,No,No,Yes,9,No,,95,,,No,None
Brussels City,Brussels,APARTMENT,APARTMENT,190000,residential_sale,2,,None,No,No,Yes,2,No,,60,,,No,None
Genappe,Wallonie,HOUSE,HOUSE,169000,residential_sale,2,,None,No,No,No,,No,,112,,,No,None
Kontich,Flanders,HOUSE,HOUSE,429000,residential_sale,3,,None,No,No,Yes,,No,,180,,,No,None
Houtain-le-Val,Wallonie,HOUSE,HOUSE,169000,residential_sale,3,,None,No,No,No,,Yes,170,220,,,No,None
Grand-Leez,Wallonie,HOUSE,HOUSE,499000,residential_sale,9,,None,No,Yes,No,,Yes,,355,,,No,None
Brussels City,Brussels,APARTMENT,APARTMENT,499000,residential_sale,3,,None,No,No,Yes,,No,,143,,,No,None
Zeebrugge,Flanders,APARTMENT,APARTMENT,329000,residential_sale,2,,None,No,No,Yes,2,No,,69,,,No,None
