locality,postal_code,region,construction_year,energy_class,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Westende,8434,Flanders,,None,APARTMENT,FLAT_STUDIO,155000,residential_sale,0,,None,1,0,1,,0,,24,,,0,None
Boekhoute,9961,Flanders,2023,A,APARTMENT,APARTMENT,224750,residential_sale,2,21,0,0,0,1,18,1,,87,,,0,
Kortessem,3720,Flanders,,None,HOUSE,HOUSE,398000,residential_sale,4,,None,0,0,1,10,0,,255,,,0,None
Welden,9700,Flanders,,None,HOUSE,HOUSE,395000,residential_sale,5,,None,0,0,1,,1,,250,,,0,None
Hoevenen,2940,Flanders,,None,HOUSE,HOUSE,325000,residential_sale,3,,None,0,0,1,,0,,,,,0,None
Ranst,2520,Flanders,,None,APARTMENT,APARTMENT,192500,residential_sale,1,,None,0,0,1,,0,,65,,,0,None
Nieuwpoort,8620,Flanders,,None,APARTMENT,DUPLEX,425000,residential_sale,2,,None,0,0,1,,0,,87,,,0,None
Tielt,8700,Flanders,,None,HOUSE,HOUSE,269000,residential_sale,5,,None,0,0,0,,1,,312,,,0,None
Nieuwpoort,8620,Flanders,,None,APARTMENT,APARTMENT,375000,residential_sale,1,,None,0,0,1,,0,,40,,,0,None
Liege,4020,Wallonie,,G,APARTMENT,DUPLEX,149500,residential_sale,3,14,0,0,0,1,4,0,,80,,2,0,TO_BE_DONE_UP
Nieuwpoort,8620,Flanders,,None,APARTMENT,APARTMENT,225000,residential_sale,1,,None,1,0,0,,0,,42,,,0,None
Tielt,8700,Flanders,,None,APARTMENT,APARTMENT,269000,residential_sale,5,,None,0,0,0,,1,,312,,,0,None
Nieuwpoort,8620,Flanders,,None,HOUSE,HOUSE,349000,residential_sale,3,,None,0,0,1,,0,,89,,,0,None
Zelzate,9060,Flanders,,None,HOUSE,HOUSE,260000,residential_sale,3,,None,0,0,1,,1,,191,,,0,None
Liege,4020,Wallonie,,D,APARTMENT,DUPLEX,139500,residential_sale,2,14,0,0,0,0,,0,,90,,2,0,TO_BE_DONE_UP
