locality,postal_code,region,property_type,subtype_property,price,contruction_year,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Putte,2580,Flanders,HOUSE,HOUSE,589000,,residential_sale,4,,None,0,0,0,,0,,261,,,0,None
Brugge,8000,Flanders,HOUSE,HOUSE,398000,,residential_sale,3,,None,0,0,1,,1,,166,,,0,None
Meerhout,2450,Flanders,HOUSE,HOUSE,259000,,residential_sale,3,30,0,0,0,0,,1,,170,607,,0,TO_RENOVATE
Heist-aan-Zee,8301,Flanders,APARTMENT,APARTMENT,1595000,2008,residential_sale,3,40,1,0,0,1,3,0,,116,,3,0,
Hoboken,2660,Flanders,APARTMENT,APARTMENT,159000,,residential_sale,2,,None,0,0,1,4,0,,70,,,0,None
Wellen,3830,Flanders,HOUSE,HOUSE,235000,,residential_sale,2,,None,0,0,0,,1,,,,,0,None
Wellen,3830,Flanders,HOUSE,HOUSE,365000,1931,residential_sale,3,28,0,0,0,0,,1,,,755,,0,JUST_RENOVATED
Wellen,3830,Flanders,HOUSE,HOUSE,315000,,residential_sale,3,,None,0,0,0,,1,,,,,0,None
Wellen,3830,Flanders,HOUSE,HOUSE,235000,,residential_sale,3,,None,0,0,0,,1,,,,,0,None
Hasselt,3500,Flanders,APARTMENT,APARTMENT,425000,,residential_sale,3,,None,0,0,1,24,1,,180,,,0,None
Borgloon,3840,Flanders,HOUSE,HOUSE,349500,,residential_sale,3,,None,0,0,0,,0,,110,,,0,None
Kortessem,3720,Flanders,HOUSE,HOUSE,415000,,residential_sale,4,,None,0,0,1,10,0,,255,,,0,None
Dison,4820,Wallonie,APARTMENT,APARTMENT,99000,2010,residential_sale,2,32,0,0,0,1,32,0,,94,,4,0,GOOD
Hasselt,3500,Flanders,APARTMENT,APARTMENT,259000,,residential_sale,2,,None,0,0,1,16,0,,90,,,0,None
Durbuy,6940,Wallonie,HOUSE,HOUSE,350000,,residential_sale,3,,None,1,0,0,,1,,230,,,0,None
Dworp,1653,Flanders,HOUSE,HOUSE,650000,,residential_sale,4,,None,0,0,0,,1,,313,,,1,None
Ans,4430,Wallonie,APARTMENT,APARTMENT,99000,1992,residential_sale,1,25,0,0,0,1,4,0,,56,,2,0,GOOD
Hemiksem,2620,Flanders,APARTMENT,APARTMENT,269000,,residential_sale,3,,None,0,1,1,4,0,,108,,,0,None
Huy,4500,Wallonie,HOUSE,HOUSE,89500,1899,residential_sale,3,11,0,0,1,0,,0,,120,55,2,0,TO_RENOVATE
Kruisem,9770,Flanders,APARTMENT,APARTMENT,419990,2023,residential_sale,3,16,0,0,0,1,29,1,,132,,,0,AS_NEW
Zulte,9870,Flanders,APARTMENT,APARTMENT,419990,2023,residential_sale,3,16,0,0,0,1,29,1,,132,,,0,AS_NEW
Seraing Ougrée,4102,Wallonie,HOUSE,HOUSE,70000,1860,residential_sale,2,15,0,0,0,0,,1,220,75,302,3,0,TO_RENOVATE
Deinze,9800,Flanders,APARTMENT,APARTMENT,419990,2023,residential_sale,3,16,0,0,0,1,29,1,,132,,,0,AS_NEW
Halanzy,6792,Wallonie,HOUSE,HOUSE,235000,1960,residential_sale,3,30,0,0,1,0,,1,,135,580,4,0,TO_RENOVATE
Kruisem,9750,Flanders,APARTMENT,APARTMENT,419990,2023,residential_sale,3,16,0,0,0,1,29,1,,132,,,0,AS_NEW
Etterbeek,1040,Brussels,APARTMENT,APARTMENT,209000,,residential_sale,1,,None,0,0,0,,0,,48,,,0,None
Deinze,9800,Flanders,APARTMENT,APARTMENT,250000,2023,residential_sale,1,12,1,0,0,1,10,1,,63,,4,0,AS_NEW
Waterloo,1410,Wallonie,HOUSE,HOUSE,735000,1955,residential_sale,3,33,0,0,0,1,12,1,1200,170,1200,4,0,GOOD
Steenokkerzeel,1820,Flanders,HOUSE,HOUSE,435000,1968,residential_sale,3,32,0,0,1,1,30,1,115,194,350,3,0,JUST_RENOVATED
Gent,9000,Flanders,APARTMENT,APARTMENT,375000,,residential_sale,3,,None,0,0,1,12,0,,138,,,0,None
Beveren Melsele,9120,Flanders,HOUSE,HOUSE,349000,1967,residential_sale,3,34,0,0,0,1,25,1,350,154,622,4,0,GOOD
Ixelles,1050,Brussels,HOUSE,HOUSE,899000,1961,residential_sale,4,30,0,0,0,0,,1,80,282,163,2,0,TO_BE_DONE_UP
Gent,9000,Flanders,APARTMENT,APARTMENT,545000,1963,residential_sale,4,68,0,0,0,0,,0,,182,,2,0,GOOD
Beauvoorde,8630,Flanders,HOUSE,HOUSE,249000,,residential_sale,2,,None,0,0,1,,1,,140,,,0,None
Iddergem,9472,Flanders,HOUSE,HOUSE,249000,,residential_sale,3,,None,0,0,0,,1,175,112,,,0,None
Woluwe-Saint-Lambert,1200,Brussels,APARTMENT,APARTMENT,449000,,residential_sale,3,,None,0,0,0,,0,,140,,,0,None
Leuven,3000,Flanders,HOUSE,HOUSE,2995000,,residential_sale,13,14,0,1,0,1,17,0,,530,240,,0,
Merelbeke,9820,Flanders,HOUSE,HOUSE,550000,,residential_sale,3,,None,0,1,0,,1,,235,,,0,None
Kessel-Lo,3010,Flanders,APARTMENT,APARTMENT,265000,,residential_sale,2,,None,0,0,0,,0,,89,,,0,None
Uccle,1180,Brussels,HOUSE,HOUSE,1590000,1935,residential_sale,4,25,1,0,0,1,25,1,150,,255,2,0,GOOD
Bruxelles,1000,Brussels,HOUSE,HOUSE,2200000,,residential_sale,4,,None,0,0,1,15,1,50,275,,,0,None
Ixelles,1050,Brussels,APARTMENT,APARTMENT,370000,,residential_sale,2,,None,0,0,0,,0,,83,,,0,None
Antwerp,2170,Flanders,HOUSE,HOUSE,249000,,residential_sale,4,,None,0,1,0,,1,40,148,,,0,None
Boom,2850,Flanders,HOUSE,HOUSE,268000,1928,residential_sale,3,44,0,0,0,1,6,0,,114,65,2,0,GOOD
Beerse,2340,Flanders,HOUSE,HOUSE,369000,,residential_sale,4,,None,0,0,0,,0,,221,,,0,None
Affligem,1790,Flanders,HOUSE,HOUSE,398000,1936,residential_sale,4,41,1,0,0,1,,1,630,195,654,3,0,AS_NEW
Pittem,8740,Flanders,HOUSE,HOUSE,469000,,residential_sale,3,,None,0,0,1,,1,,202,,,0,None
ECAUSSINNES-D'ENGHIEN,7190,Wallonie,HOUSE,HOUSE,230000,,residential_sale,3,,None,0,1,1,16,0,,107,,,0,None
Woluwe-Saint-Lambert,1200,Brussels,APARTMENT,APARTMENT,325000,,residential_sale,2,25,1,0,0,1,13,0,,80,,2,0,JUST_RENOVATED
Kortrijk,8500,Flanders,HOUSE,HOUSE,449000,,residential_sale,6,,None,0,0,0,,0,,450,,,0,None
Villers-la-Ville ( Tilly),1495,Wallonie,APARTMENT,APARTMENT,348000,,residential_sale,3,,None,0,0,1,12,0,,134,,,0,None
Marchienne-au-Pont,6030,Wallonie,HOUSE,HOUSE,110000,,residential_sale,3,17,0,0,0,1,,0,,140,60,3,0,TO_BE_DONE_UP
Peer,3990,Flanders,HOUSE,HOUSE,369000,,residential_sale,5,,None,0,0,1,,0,,165,,,0,None
Haacht,3150,Flanders,HOUSE,HOUSE,369000,1979,residential_sale,4,31,1,0,0,1,40,0,,140,198,2,0,AS_NEW
Bassevelde,9968,Flanders,HOUSE,HOUSE,445800,2022,residential_sale,3,31,1,0,0,0,,1,,168,620,,0,
Halle,1500,Flanders,HOUSE,HOUSE,845000,1952,residential_sale,4,30,0,0,1,1,,1,550,253,1170,3,0,JUST_RENOVATED
Ixelles,1050,Brussels,APARTMENT,APARTMENT,636000,,residential_sale,2,,None,0,0,1,7,0,,99,,,0,None
Waterloo,1410,Wallonie,APARTMENT,APARTMENT,605000,,residential_sale,3,,None,0,0,1,15,0,,135,,,0,None
Woluwe-Saint-Lambert,1200,Brussels,APARTMENT,APARTMENT,540000,,residential_sale,3,,None,0,0,1,9,0,,120,,,0,None
Schaerbeek,1030,Brussels,APARTMENT,APARTMENT,540000,,residential_sale,2,,None,0,0,0,,0,,142,,,0,None
Woluwe-Saint-Lambert,1200,Brussels,APARTMENT,APARTMENT,545000,,residential_sale,2,,None,0,0,1,12,0,,120,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,540000,,residential_sale,3,,None,0,0,1,15,0,,132,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,515000,,residential_sale,3,,None,0,0,1,15,0,,132,,,0,None
Bruxelles,1000,Brussels,APARTMENT,APARTMENT,525000,,residential_sale,3,,None,0,0,1,15,0,,132,,,0,None
